rep,sim_scenario_id,sim_id,m,w,niche_mult,JM,ntimesteps,nu,MeanRichness,MedianRichness,MeanJ,MedianJ,RegRich,RegJ,Aggregation,SarPowerb0,SarPowerb1,SarPowerb0_Pval,SarPowerb1_Pval,SarPowerR2,SarPowerR2adj,SAR.Loga.LMb0,SAR.Loga.LMb1,SAR.Loga.LMb0_Pval,SAR.Loga.LMb1_Pval,SAR.Loga.LMR2,SAR.Loga.LMR2adj,SarMicmenb0,SarMicmenb1,SarMicmenb0_Pval,SarMicmenb1_Pval,SarMicmenR2,SarMicmenR2adj,BestSARModAICc
1,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143916_984570,0.24164448437915745,1210.8473942071887,0.15,1000000,10,1e-5,35.03333333333333,30,0.5928424848795711,0.6255846485458916,190,0.7502288570781535,65.20138199485265,76.5428402631053,0.236971323451572,3.98728991828535e-31,6.80570987735362e-27,0.904974945187447,0.903336582173437,48.7958773007846,84.5784054095433,2.24787897928462e-23,4.70718476412777e-44,0.965362054806926,0.964764848855321,205.857664501211,4.84025405596406,3.52832243589103e-132,6.51718596936615e-89,0.999781548300256,0.999777781891639,M
2,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143921_241188,0.3122506702821582,62334.83736325644,0.15,1000000,10,1e-5,23.733333333333334,20.5,0.6073205211683558,0.6309291674646476,190,0.7400902339945195,99.22149703791068,53.8459226185009,0.320563123926019,1.09457982106306e-31,1.17427360217567e-34,0.953876338896427,0.953081103360158,15.8449123078923,100.120367165383,1.9532999212737e-15,9.76053741850446e-66,0.993804696426275,0.993697880847418,215.333695777158,8.66981556622964,9.71722039192826e-114,2.15699047061911e-78,0.999630847608822,0.999624482912422,M
3,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143925_470265,0.0056053529050105,1864.1883778320953,1,1000000,10,1e-5,66.06666666666666,65,0.6528360710110315,0.6826711158563998,220,0.821765495947295,32.04078015697745,116.612528537439,0.168249719108885,1.47193513489625e-36,3.12553349495498e-24,0.87053014192746,0.868297902995175,97.1140737669873,75.2474494167785,1.58465745343505e-32,9.79224599953807e-35,0.927460051247009,0.926209362475405,230.287785056646,2.65125661080136,3.24427940206732e-136,9.44852765612866e-85,0.999628223278244,0.999621813334766,M
4,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143930_791189,0.13167889206348363,15337069.85704523,1,1000000,10,1e-5,43.86666666666667,43,0.6944990988628528,0.7289196398160083,221,0.8217108113658903,53.74475794119627,86.4620559568866,0.243468534084008,5.35281401230667e-34,2.68188829374846e-30,0.928047456081799,0.926806894979761,54.6052876413213,98.8866461917343,2.35034759897579e-28,8.40552363435393e-51,0.979724923857074,0.979375353578747,239.430701166153,5.0779336277884,9.57096845497894e-114,3.61181295339225e-71,0.999219874835619,0.999206424401751,M
5,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143934_718196,0.4451417688509699,551388695.6414062,0.15,1000000,10,1e-5,14.133333333333333,11,0.5233191245726954,0.578638507616682,184,0.7844161847703278,199.97265220075997,30.6680243480266,0.448945175556067,7.795387955745e-34,2.0498082229791e-45,0.982857024621006,0.982561456079989,-19.4809954748795,112.470015303037,1.34947222667282e-08,2.40058653623258e-51,0.980582126472943,0.980247335550063,238.406494022619,18.4114312745263,2.07735555816826e-92,6.36118289421656e-67,0.999453521804677,0.999444099766827,M
6,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143938_707084,0.00175742625018055,2875192.8455989463,0.15,1000000,10,1e-5,14.566666666666666,12,0.5202935220580928,0.5682863794888732,185,0.783536609417464,194.49412882108575,31.6074794044919,0.443536748195134,1.70361178315849e-33,9.57473452808096e-45,0.981820907732176,0.981507475106869,-18.4627662515041,112.881479671352,2.93743474645978e-08,5.39953855541664e-52,0.981555564305569,0.981237556793596,238.66214072528,17.8918198983316,4.86814525247336e-94,3.44554265676107e-68,0.999504251575677,0.999495704189051,M
7,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143942_449950,0.04812713432527784,86.43083481266451,1,1000000,10,1e-5,128.53333333333333,132.5,0.6801405469143881,0.687658729035741,228,0.8114756376900643,12.456356476332981,169.624249075214,0.0786879151201196,1.9241348759721e-51,9.7427654052224e-21,0.804398797022803,0.801026362488714,164.113334160309,39.2695625522509,5.91494535549554e-50,1.16919349223269e-24,0.838810770403595,0.836031645755381,229.800764554888,0.827586632790626,2.43934322081125e-139,1.00687591534258e-71,0.998184454119624,0.998153151604445,M
8,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143946_191570,0.12309200184170672,22171966.08606099,1,1000000,10,1e-5,44.35,43.5,0.6918378474337518,0.7330030088591176,219,0.8211014194112288,52.71579553090595,87.5946759815338,0.238260726488985,9.55312717477791e-34,1.52712019656295e-29,0.923077675356887,0.921751428380281,56.6791375834395,96.7876313453139,6.49441188443431e-28,7.29535194892035e-49,0.976352690079385,0.975944977839375,236.837604871758,4.8817950647181,5.60965906415647e-118,7.49376877164384e-75,0.999410233373785,0.999400064983677,M
9,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143950_665296,0.00919480044643223,8962548.730446802,0.15,1000000,10,1e-5,14.233333333333333,11,0.5186435018172572,0.5685650079139037,185,0.7830080402931893,199.20587318429213,30.8441433111625,0.449542565377877,2.3061601253474e-33,5.9211468634376e-45,0.982218162125705,0.981911578714079,-19.8891710050997,113.530697669849,1.25548646847355e-08,3.89639188021903e-51,0.980255209002029,0.979914781571029,240.593632782057,18.4764905925106,5.47094345415616e-95,1.55414187793806e-69,0.999568642175109,0.999561204971231,M
10,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143953_501198,0.00104152465817403,20889.16931933008,20,1000000,10,1e-5,65.23333333333333,63.5,0.7433514436480679,0.7492800154867736,252,0.8252901939010727,31.710831560380875,118.240265044054,0.199541894232461,2.23840493708156e-35,5.66567086011216e-27,0.900452017083831,0.898735672550794,90.0608664144065,98.4252653647605,9.27941660659708e-31,4.46781655584875e-41,0.956131845678275,0.955375498189969,268.165766522986,3.55455597784903,3.10479176305367e-116,8.32329453994913e-69,0.998851696484177,0.998831898147698,M
